capacity_lines,offered_load_erlangs,blocking_probability
90,90,0.07957137137926977
91,90,0.07295557841690331
92,90,0.06661528235353911
93,90,0.06056217663580641
94,90,0.05480707127039748
95,90,0.04935961454958838
96,90,0.04422800374897609
97,90,0.03941869505234941
98,90,0.03493612523161266
99,90,0.030782459430906784
100,90,0.026957380464359214
101,90,0.023457935035861723
102,90,0.02027845098531209
103,90,0.01741053693104384
104,90,0.014843171548237015
105,90,0.012562884428167753
106,90,0.01055402442934794
107,90,0.008799105244742682
108,90,0.007279212241773746
109,90,0.005974450143154537
110,90,0.004864408345650683
111,90,0.00392861994648334
112,90,0.0031469919197592467
113,90,0.0025001871379949398
114,90,0.001969943613402738
115,90,0.0015393218370111754
